id,name,sector ,party,party 2,role ,country,ereignis,partei,Teil der IB
dyn,Yannick Noé,3,afd,,4,Deutschland,nein,nein,nein
dsd,Siegbert Dröse,3,afd,,6,Deutschland,nein,nein,nein
dmkr,Maximilian Krah,1,afd,,6,Deutschland,nein,nein,nein
dag,Albert Glas,5,,,3,Deutschland,nein,nein,nein
dam,Alex Malenki,5,,,3,Deutschland,nein,nein,nein
dca,Chris Ares,5,,,3,Deutschland,nein,nein,nein
ddf,Daniel Fiß,5,,,2,Deutschland,nein,nein,nein
dfs,Falk Schakolat,5,,,3,Deutschland,nein,nein,nein
dgk,Götz Kubitschek,4,,,3,Deutschland,nein,nein,nein
dkn,Kai Naggert,5,,,3,Deutschland,nein,nein,nein
dmcm,Marco Müller,5,,,3,Deutschland,nein,nein,nein
dmk,Marius König,5,,,6,Deutschland,nein,nein,nein
dmm,Mario Müller,5,,,3,Deutschland,nein,nein,nein
dms,Melanie Schmitz,5,,,3,Deutschland,nein,nein,nein
dna,Nils Altmieks,5,,,1,Deutschland,nein,nein,nein
dpt,Philip Thaler,5,,,2,Deutschland,nein,nein,nein
drti,Robert Timm,5,,,3,Deutschland,nein,nein,nein
dds,Daniel Sebbin,5,,,2,Deutschland,nein,nein,nein
dsk,Simon Kaupert,5,,,3,Deutschland,nein,nein,nein
dtg,Torsten Görke,5,,,3,Deutschland,nein,nein,nein
dtge,Tony Gerber,5,,,3,Deutschland,nein,nein,nein
dtw,Till-Lucas Wessels,5,,,3,Deutschland,nein,nein,nein
afd,Alternative für Deutschland,,,,,Deutschland,nein,ja,nein
ja,Junge Alternative,,,,,Deutschland,nein,ja,nein
