id,name,sector,party,party 2,role,country,ereignis,partei,ib,thing
ogk,Günther Kleinhans,3,fpö,,4,österreichisch,no,n,nein,n
ohk,Herbert Kickl,2,fpö,,4,österreichisch,no,n,nein,n
ohl,Helwig Leibinger,3,fpö,,4,österreichisch,no,n,nein,n
ohs,Heinrich Sickl,3,fpö,,4,österreichisch,no,n,nein,n
oib,Identitäre Bewegung Österreich,7,oib,,7,österreichisch,no,n,nein,n
ojk,Jörg Rudolf Klaus ,3,fpö,,4,österreichisch,no,n,nein,n
okw,Katharina Walter,3,fpö,,4,österreichisch,no,n,nein,n
olk,Leo Kohlbauer ,2,fpö,,4,österreichisch,no,n,nein,n
ome,Mario Eustacchio,3,fpö,,4,österreichisch,no,n,nein,n
omg,Manfred Gabriel,3,fpö,,4,österreichisch,no,n,nein,n
omh,Markus Hein,3,fpö,,4,österreichisch,no,j,nein,j
omk,Mario Kunasek,2,fpö,,4,österreichisch,no,n,nein,n
oml,Michael Ley,4,k,,4,österreichisch,no,n,nein,n
oms,Martin Sellner,4,oib,,1,österreichisch,no,n,ja,j
omw,Maximilian Weinzierl,2,rfj,,4,österreichisch,no,n,nein,n
orfj,Ring freiheitlicher Jugend Österreich,7,fpö,,7,österreichisch,no,j,nein,j
orm,Roman Möseneder,2,rfj,,3,österreichisch,no,n,nein,n
osf,Susanne Fürst,2,fpö,,4,österreichisch,no,n,nein,n
osw,Siegfried Waschnig,2,fpö,,4,österreichisch,no,n,nein,n
oswa,Sabine Wassicek,3,fpö,,4,österreichisch,no,n,nein,n
oth,Thomas Hüttner,2,fpö,,4,österreichisch,no,n,nein,n
ovek,Verteidiger Europas Kongress,7,k,,7,österreichisch,yes,n,nein,j
owa,Walter Asperl,3,fpö,,4,österreichisch,no,n,nein,n
owg,Wolfgang Grabmayr,3,fpö,,6,österreichisch,no,n,nein,n
owk,Wolfgang Kitzmüller,3,fpö,,4,österreichisch,no,n,nein,n
oww,Werner Wassicek,3,fpö,,4,österreichisch,no,n,nein,n
owz,Wolfgang Zanger,2,fpö,,4,österreichisch,no,n,nein,n
rn,Resemblement National,7,k,,7,französisch,no,j,nein,j
