id,name,sector,party,party 2,role,country,ereignis,partei,ib
ojk,Jörg Rudolf Klaus ,3,fpö,,4,österreichisch,no,n,nein
okw,Katharina Walter,3,fpö,,4,österreichisch,no,n,nein
olk,Leo Kohlbauer ,2,fpö,,4,österreichisch,no,n,nein
ome,Mario Eustacchio,3,fpö,,4,österreichisch,no,n,nein
omg,Manfred Gabriel,3,fpö,,4,österreichisch,no,n,nein
omh,Markus Hein,3,fpö,,4,österreichisch,no,j,nein
omk,Mario Kunasek,2,fpö,,4,österreichisch,no,n,nein
oml,Michael Ley,4,k,,4,österreichisch,no,n,nein
oms,Martin Sellner,4,oib,,1,österreichisch,no,n,ja
omw,Maximilian Weinzierl,2,rfj,,4,österreichisch,no,n,nein
orfj,Ring freiheitlicher Jugend Österreich,0,fpö,,7,österreichisch,no,j,nein
orm,Roman Möseneder,2,rfj,,3,österreichisch,no,n,nein
osf,Susanne Fürst,2,fpö,,4,österreichisch,no,n,nein
osw,Siegfried Waschnig,2,fpö,,4,österreichisch,no,n,nein
oswa,Sabine Wassicek,3,fpö,,4,österreichisch,no,n,nein
oth,Thomas Hüttner,2,fpö,,4,österreichisch,no,n,nein
ovek,Verteidiger Europas Kongress,0,k,,7,österreichsich ,yes,n,nein
owa,Walter Asperl,3,fpö,,4,österreichsich ,no,n,nein
owg,Wolfgang Grabmayr,3,fpö,,6,österreichisch,no,n,nein
owk,Wolfgang Kitzmüller,3,fpö,,4,österreichisch,no,n,nein
oww,Werner Wassicek,3,fpö,,4,österreichisch,no,n,nein
owz,Wolfgang Zanger,2,fpö,,4,österreichisch,no,n,nein
rn,Resemblement National,0,k,,7,französisch,no,j,nein
